pre_release,version,downloads_count
6.3,6.0.5,170
6.3,6.0.4,65
6.3,6.0.3,373
6.3,6.0.2,654
6.3,6.0.1,1328
6.3,6.0,284
6.3,5.2rc1,20
6.3,5.2.7,69
6.3,5.2.6,19683
6.3,5.2.5,2869
6.3,5.2.4,466
6.3,5.2.3,1746
6.3,5.2.2,1271
6.3,5.2.1,1843
6.3,5.2,828
6.3,5.1rc1,12
6.3,5.1.3,809
6.3,5.1.2,98
6.3,5.1.1,877
6.3,5.1,240
6.3,5.0rc1,11
6.3,5.0.5,1217
6.3,5.0.4,33
6.3,5.0.3,38
6.3,5.0.2,480
6.3,5.0.1,267
6.3,5.0,437
6.3,4.2rc1,12
6.3,4.2.4,1073
6.3,4.2.3,248
6.3,4.2.2,278
6.3,4.2.1,218
6.3,4.2,369
6.3,4.1rc1,15
6.3,4.1.9,735
6.3,4.1.8,41
6.3,4.1.7,41
6.3,4.1.6,128
6.3,4.1.5,196
6.3,4.1.4,73
6.3,4.1.3,57
6.3,4.1.2,40
6.3,4.1.1,1029
6.3,4.1,358
6.3,4.0rc2,15
6.3,4.0rc1,11
6.3,4.0.4,287
6.3,4.0.3,39
6.3,4.0.2,62
6.3,4.0.1,88
6.3,4.0,125
6.3,3.0rc3,14
6.3,3.0rc2,13
6.3,3.0rc1,11
6.3,3.0.3,528
6.3,3.0.2,43
6.3,3.0.1,553
6.3,3.0,226
6.3,2.9rc1,12
6.3,2.9.3,190
6.3,2.9.2,29
6.3,2.9.1,26
6.3,2.9,135
6.3,2.8rc1,12
6.3,2.8.2,49
6.3,2.8.1,28
6.3,2.8,43
6.3,2.7rc2,11
6.3,2.7rc1,13
6.3,2.7.4,69
6.3,2.7.3,31
6.3,2.7.2,46
6.3,2.7.1,39
6.3,2.7,75
6.3,2.6rc1,10
6.3,2.6.3,136
6.3,2.6.2,39
6.3,2.6.1,32
6.3,2.6,29
6.3,2.5rc1,11
6.3,2.5.2,30
6.3,2.5.1,34
6.3,2.5,29
6.3,2.4rc1,11
6.3,2.4,91
6.2,6.2rc1,626
6.2,6.1rc2,33
6.2,6.1rc1,22
6.2,6.1.3,28774
6.2,6.1.2,5040
6.2,6.1.1,5422
6.2,6.1,1715
6.2,6.0rc1,16
6.2,6.0.6,2208
6.2,6.0.5,602
6.2,6.0.4,199
6.2,6.0.3,738
6.2,6.0.2,892
6.2,6.0.1,1503
6.2,6.0,359
6.2,5.2rc1,12
6.2,5.2.6,542686
6.2,5.2.5,6016
6.2,5.2.4,586
6.2,5.2.3,2901
6.2,5.2.2,1442
6.2,5.2.1,1403
6.2,5.2,3024
6.2,5.1rc1,13
6.2,5.1.3,1805
6.2,5.1.2,322
6.2,5.1.1,1027
6.2,5.1,564
6.2,5.0rc1,13
6.2,5.0.5,4501
6.2,5.0.4,122
6.2,5.0.3,130
6.2,5.0.2,503
6.2,5.0.1,616
6.2,5.0,1160
6.2,4.2rc1,11
6.2,4.2.4,1916
6.2,4.2.3,261
6.2,4.2.2,537
6.2,4.2.1,324
6.2,4.2,919
6.2,4.1rc1,15
6.2,4.1.9,822
6.2,4.1.8,110
6.2,4.1.7,101
6.2,4.1.6,255
6.2,4.1.5,188
6.2,4.1.4,114
6.2,4.1.3,327
6.2,4.1.2,101
6.2,4.1.1,1177
6.2,4.1,323
6.2,4.0rc2,44
6.2,4.0rc1,12
6.2,4.0.4,382
6.2,4.0.3,62
6.2,4.0.2,83
6.2,4.0.1,88
6.2,4.0,341
6.2,3.0rc3,9
6.2,3.0rc2,9
6.2,3.0rc1,12
6.2,3.0.3,551
6.2,3.0.2,63
6.2,3.0.1,353
6.2,3.0,329
6.2,2.9rc1,23
6.2,2.9.3,225
6.2,2.9.2,42
6.2,2.9.1,38
6.2,2.9,141
6.2,2.8rc1,11
6.2,2.8.2,79
6.2,2.8.1,52
6.2,2.8,391
6.2,2.7rc2,7
6.2,2.7rc1,12
6.2,2.7.4,198
6.2,2.7.3,28
6.2,2.7.2,54
6.2,2.7.1,34
6.2,2.7,80
6.2,2.6rc1,9
6.2,2.6.3,173
6.2,2.6.2,27
6.2,2.6.1,67
6.2,2.6,47
6.2,2.5rc1,11
6.2,2.5.2,63
6.2,2.5.1,33
6.2,2.5,32
6.2,2.4rc1,10
6.2,2.4,93
6.2,2.3rc2,8
6.2,2.3rc1,8
6.2,2.3,404
6.2,2.2rc2,10
6.2,2.2rc1,10
6.2,2.2.2,100
6.2,2.2.1,25
6.1,6.1rc2,383
6.1,6.1rc1,580
6.1,6.0rc1,25
6.1,6.0.3,96
6.1,6.0.2,18688
6.1,6.0.1,5682
6.1,6.0,881
6.1,5.2rc1,19
6.1,5.2.5,176
